,term,justiceName,medianJJ,liberal,median,lib_median,lib_court,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,vote,opinion,direction,majority,firstAgreement,secondAgreement,_merge
11,1947,FMVinson,SFReed,0,0,0,0,1947-106,1947-106-01,1947-106-01-01,1947-106-01-01-01-09,6/14/48,1,334 U.S. 728,68 S. Ct. 1256,92 L. Ed. 2d 1683,1948 U.S. LEXIS 1987,1301,Vinson,541,"GRYGER v. BURKE, WARDEN",4/26/48,NA,215,NA,28,45,1,NA,NA,0,302,45,300,45,0,12,9,1,1,2,0,0,0,0,10120,1,1,0,2,NA,1,122,,84,87,1,5,4,87,1,1,1,2,NA,NA,3
12,1947,FMurphy,SFReed,1,0,0,0,1947-036,1947-036-01,1947-036-01-01,1947-036-01-01-01-08,2/9/48,1,333 U.S. 95,68 S. Ct. 397,92 L. Ed. 2d 562,1948 U.S. LEXIS 2557,1301,Vinson,60,MUSSER ET AL. v. UTAH,11/10/47,1/5/48,137,NA,28,52,2,NA,NA,0,302,52,300,52,0,1,2,2,1,5,0,1,0,0,90190,9,1,1,3,NA,NA,NA,,84,87,1,6,3,82,2,1,2,1,85,NA,3
13,1947,HHBurton,SFReed,0,0,0,0,1947-067,1947-067-12,1947-067-12-01,1947-067-12-01-01-01,4/26/48,1,333 U.S. 683,68 S. Ct. 793,92 L. Ed. 2d 1010,1948 U.S. LEXIS 2709,1301,Vinson,27,FEDERAL TRADE COMMISSION v. CEMENT INSTITUTE ET AL.,10/20/47,NA,357,NA,120,NA,1,57,NA,0,27,NA,27,NA,1,12,8,1,1,4,0,1,0,0,40010,4,2,0,4,5,3,337,,78,87,1,6,1,86,2,2,1,1,NA,NA,3
14,1947,HLBlack,SFReed,1,0,0,0,1947-024,1947-024-01,1947-024-01-01,1947-024-01-01-01-06,1/12/48,6,332 U.S. 631,68 S. Ct. 299,92 L. Ed. 2d 247,1948 U.S. LEXIS 2645,1301,Vinson,369,SIPUEL v. BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA et al.,1/7/48,NA,224,NA,26,42,1,NA,NA,0,302,42,300,42,0,12,2,1,3,4,0,1,0,0,20050,2,2,0,2,NA,2,231,,NA,NA,1,9,0,78,1,1,2,2,NA,NA,3
15,1947,RHJackson,SFReed,0,0,0,0,1947-067,1947-067-09,1947-067-09-01,1947-067-09-01-01-02,4/26/48,1,333 U.S. 683,68 S. Ct. 793,92 L. Ed. 2d 1010,1948 U.S. LEXIS 2709,1301,Vinson,25,FEDERAL TRADE COMMISSION v. CEMENT INSTITUTE ET AL.,10/20/47,NA,357,NA,120,NA,1,57,NA,0,27,NA,27,NA,1,12,8,1,1,4,0,1,0,0,40010,4,2,0,4,5,3,337,,78,87,1,6,1,84,NA,NA,NA,NA,NA,NA,3
16,1947,SFReed,SFReed,0,1,0,0,1947-095,1947-095-01,1947-095-01-01,1947-095-01-01-01-05,6/7/48,1,334 U.S. 495,68 S. Ct. 1107,92 L. Ed. 2d 1533,1948 U.S. LEXIS 2714,1301,Vinson,461,UNITED STATES v. COLUMBIA STEEL CO. ET AL.,4/29/48,NA,27,NA,184,NA,2,NA,NA,0,54,9,54,9,0,1,NA,1,1,2,0,0,0,0,80020,8,1,0,4,NA,3,367,,79,87,1,5,4,79,1,2,1,2,NA,NA,3
17,1947,WBRutledge,SFReed,1,0,0,0,1947-067,1947-067-01,1947-067-01-01,1947-067-01-01-01-07,4/26/48,1,333 U.S. 683,68 S. Ct. 793,92 L. Ed. 2d 1010,1948 U.S. LEXIS 2709,1301,Vinson,23,FEDERAL TRADE COMMISSION v. CEMENT INSTITUTE ET AL.,10/20/47,NA,357,NA,120,NA,1,57,NA,0,27,NA,27,NA,1,12,8,1,1,4,0,1,0,0,40010,4,2,0,4,5,3,337,,78,87,1,6,1,85,1,1,2,2,NA,NA,3
18,1947,WODouglas,SFReed,1,0,0,0,1947-018,1947-018-01,1947-018-01-01,1947-018-01-01-01-03,12/22/47,2,332 U.S. 561,68 S. Ct. 240,92 L. Ed. 2d 170,1947 U.S. LEXIS 1513,1301,Vinson,93,"MARINO v. RAGEN, WARDEN",NA,NA,126,NA,28,17,1,NA,NA,0,302,17,302,17,0,12,NA,1,1,5,0,1,0,0,10280,1,2,0,3,2,2,230,,NA,NA,1,9,0,81,3,1,2,2,85,NA,3
19,1948,FFrankfurter,FFrankfurter,0,1,0,0,1948-072,1948-072-01,1948-072-01-01,1948-072-01-01-01-04,5/2/49,2,336 U.S. 804,69 S. Ct. 840,93 L. Ed. 2d 1052,1949 U.S. LEXIS 2453,1301,Vinson,640,UNITED STATES v. URBUTEIT,NA,NA,27,NA,181,NA,1,NA,NA,0,57,12,25,NA,0,12,3,1,1,3,0,1,0,0,90330,9,2,0,3,NA,NA,NA,,NA,NA,1,9,0,80,1,1,2,2,NA,NA,3
20,1948,FMVinson,FFrankfurter,0,0,0,0,1948-060,1948-060-02,1948-060-02-01,1948-060-02-01-01-09,4/18/49,1,336 U.S. 577,69 S. Ct. 775,93 L. Ed. 2d 895,1949 U.S. LEXIS 2955,1301,Vinson,212,FEDERAL POWER COMMISSION ET AL. v. INTERSTATE NATURAL GAS CO. ET AL.,1/11/49,NA,4,50,198,NA,1,52,NA,0,25,NA,25,NA,0,12,1,1,1,3,0,1,0,0,80310,8,2,0,3,7,NA,NA,,81,87,1,9,0,87,1,1,2,2,NA,NA,3
21,1948,FMurphy,FFrankfurter,1,0,0,0,1948-056,1948-056-01,1948-056-01-01,1948-056-01-01-01-06,4/4/49,1,336 U.S. 490,69 S. Ct. 684,93 L. Ed. 2d 834,1949 U.S. LEXIS 3003,1301,Vinson,182,GIBONEY ET AL. v. EMPIRE STORAGE & ICE CO.,1/4/49,NA,249,NA,252,NA,2,NA,NA,0,302,30,300,30,0,1,2,2,1,2,0,0,0,0,30010,3,1,0,2,NA,2,200,,78,87,1,9,0,82,1,1,1,2,NA,NA,3
22,1948,HHBurton,FFrankfurter,0,0,0,0,1948-018,1948-018-02,1948-018-02-01,1948-018-02-01-01-01,1/3/49,1,335 U.S. 525,69 S. Ct. 251,93 L. Ed. 2d 212,1949 U.S. LEXIS 3023,1301,Vinson,34,LINCOLN FEDERAL LABOR UNION et al. v. NORTHWESTERN IRON & METAL CO. et al.,11/8/48,NA,145,NA,28,38,2,NA,NA,0,302,38,300,38,0,1,2,1,1,2,0,0,1,0,70030,7,1,0,2,NA,2,200,,78,87,1,9,0,86,1,1,1,2,NA,NA,3
23,1948,HLBlack,FFrankfurter,1,0,0,0,1948-079,1948-079-01,1948-079-01-01,1948-079-01-01-01-06,5/31/49,1,337 U.S. 78,69 S. Ct. 955,93 L. Ed. 2d 1226,1949 U.S. LEXIS 2947,1301,Vinson,269M,"UNITED STATES v. NATIONAL CITY LINES, INC. ET AL.",2/8/49,NA,27,NA,121,NA,1,NA,NA,0,51,6,51,6,0,12,NA,1,1,9,0,0,0,0,90140,9,1,0,4,NA,6,600,28 U.S.C. Œ_ 1404,87,87,1,7,2,78,2,3,2,1,NA,NA,3
24,1948,RHJackson,FFrankfurter,0,0,0,0,1948-028,1948-028-02,1948-028-02-01,1948-028-02-01-01-02,1/17/49,1,336 U.S. 28,69 S. Ct. 358,93 L. Ed. 2d 477,1949 U.S. LEXIS 3047,1301,Vinson,33,COMMISSIONER OF INTERNAL REVENUE v. JACOBSON,11/8/48,NA,369,NA,240,NA,1,69,NA,0,9,NA,27,NA,1,13,3,1,1,4,0,1,0,0,120010,12,2,0,4,NA,3,345,,86,87,1,7,2,84,1,1,2,2,NA,NA,3
25,1948,SFReed,FFrankfurter,0,0,0,0,1948-087,1948-087-01,1948-087-01-01,1948-087-01-01-01-05,6/6/49,1,337 U.S. 241,69 S. Ct. 1079,93 L. Ed. 2d 1337,1949 U.S. LEXIS 2308,1301,Vinson,671,WILLIAMS v. NEW YORK,4/21/49,NA,126,NA,28,37,2,NA,NA,0,302,37,300,37,0,1,2,1,1,2,0,0,0,0,40020,4,1,0,2,NA,2,230,,78,87,1,7,2,79,1,1,1,2,NA,NA,3
26,1948,WBRutledge,FFrankfurter,1,0,0,0,1948-081,1948-081-01,1948-081-01-01,1948-081-01-01-01-07,5/31/49,1,337 U.S. 137,69 S. Ct. 1000,93 L. Ed. 2d 1264,1949 U.S. LEXIS 2939,1301,Vinson,292,SMITH v. UNITED STATES,3/4/49,NA,100,NA,27,NA,1,89,NA,0,96,37,22,NA,1,10,6,1,1,3,0,1,0,0,10110,1,2,0,4,NA,6,600,56 Stat. 23,79,78,1,9,0,85,1,1,2,2,NA,NA,3
27,1948,WODouglas,FFrankfurter,1,0,0,0,1948-070,1948-070-01,1948-070-01-01,1948-070-01-01-01-03,4/25/49,1,336 U.S. 725,69 S. Ct. 841,93 L. Ed. 2d 1005,1949 U.S. LEXIS 2926,1301,Vinson,355,CALIFORNIA v. ZOOK ET AL.,2/8/49,NA,28,6,122,NA,1,NA,NA,0,302,6,301,6,0,12,9,1,1,3,0,1,0,0,80110,8,2,0,2,NA,1,111,,82,87,1,5,4,81,2,1,1,1,86,NA,3
