caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-073,1946-073-01,1946-073-01-01,1946-073-01-01-01-09,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,3,343,,78,87,1,7,2,87,FMVinson,1,1,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-01,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,86,HHBurton,1,1,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-02,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,84,RHJackson,2,2,1,1,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-03,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,81,WODouglas,1,1,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-04,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,80,FFrankfurter,2,2,1,1,84,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-05,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,79,SFReed,1,1,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-06,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,78,HLBlack,1,2,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-07,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,85,WBRutledge,1,1,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-08,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,82,FMurphy,1,1,2,2,,
1946-073,1946-073-01,1946-073-01-02,1946-073-01-02-01-09,3/31/1947,1,330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,1301,Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/47,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,6,600,49 U.S.C. _ 207,78,87,1,7,2,87,FMVinson,1,1,2,2,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-01,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,86,HHBurton,1,1,2,2,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-02,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,84,RHJackson,2,1,1,1,80,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-03,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,81,WODouglas,1,2,2,2,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-04,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,80,FFrankfurter,2,2,1,1,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-05,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,79,SFReed,1,1,2,2,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-06,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,78,HLBlack,1,1,2,2,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-07,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,85,WBRutledge,4,2,2,2,,
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01-08,3/31/1947,1,330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,1301,Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/47,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. _ 385,81,87,1,7,2,82,FMurphy,1,1,2,2,,
