"","term","medianJJ","lib_median","lib_court","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","_merge"
"11",1946,"SFReed",0,0,"1946-002","1946-002-03","1946-002-03-01","1946-002-03-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","14","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"12",1946,"SFReed",0,0,"1946-048","1946-048-01","1946-048-01-01","1946-048-01-01-01",1947-02-03,6,"329 U.S. 663","67 S. Ct. 596","91 L. Ed. 584","1947 U.S. LEXIS 2695",1301,"Vinson","140","De MEERLEER v. MICHIGAN",1947-01-06,NA,100,NA,28,27,1,NA,NA,0,302,27,300,27,0,10,2,1,1,3,0,1,0,0,10120,1,2,0,2,NA,2,214,"",NA,NA,1,9,0,3
"13",1946,"SFReed",0,0,"1946-054","1946-054-01","1946-054-01-01","1946-054-01-01-01",1947-02-17,1,"330 U.S. 169","67 S. Ct. 650","91 L. Ed. 823","1947 U.S. LEXIS 2648",1301,"Vinson","141","CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES",1947-01-14,NA,170,NA,27,NA,1,NA,NA,0,3,NA,3,NA,0,12,NA,1,1,2,0,0,0,0,20150,2,1,0,4,NA,5,511,"",78,87,1,6,3,3
"14",1946,"SFReed",0,0,"1946-033","1946-033-01","1946-033-01-01","1946-033-01-01-01",1947-01-13,7,"329 U.S. 459","67 S. Ct. 374","91 L. Ed. 422","1947 U.S. LEXIS 2777",1301,"Vinson","142","LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",1946-11-18,NA,126,NA,28,22,1,NA,NA,0,302,22,300,22,0,11,9,1,1,2,0,0,0,0,10130,1,1,0,2,NA,2,231,"",79,87,1,5,4,3
"15",1946,"SFReed",0,0,"1946-043","1946-043-01","1946-043-01-01","1946-043-01-01-01",1947-02-03,1,"329 U.S. 599","67 S. Ct. 606","91 L. Ed. 532","1947 U.S. LEXIS 2861",1301,"Vinson","148","ALBRECHT ET AL. v. UNITED STATES",1947-01-08,NA,195,NA,27,NA,1,NA,NA,0,86,30,28,NA,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,1,NA,2,211,"",78,87,1,7,2,3
"16",1946,"SFReed",0,0,"1946-043","1946-043-03","1946-043-03-01","1946-043-03-01-01",1947-02-03,1,"329 U.S. 599","67 S. Ct. 606","91 L. Ed. 532","1947 U.S. LEXIS 2861",1301,"Vinson","149","ALBRECHT ET AL. v. UNITED STATES",1947-01-08,NA,195,NA,27,NA,1,NA,NA,0,86,30,28,NA,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,4,NA,6,600,"40 U.S.C. § 258",78,87,1,7,2,3
"17",1946,"SFReed",0,0,"1946-002","1946-002-07","1946-002-07-01","1946-002-07-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","15","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"18",1946,"SFReed",0,0,"1946-043","1946-043-05","1946-043-05-01","1946-043-05-01-01",1947-02-03,1,"329 U.S. 599","67 S. Ct. 606","91 L. Ed. 532","1947 U.S. LEXIS 2861",1301,"Vinson","150","ALBRECHT ET AL. v. UNITED STATES",1947-01-08,NA,195,NA,27,NA,1,NA,NA,0,86,30,28,NA,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,1,NA,2,211,"",78,87,1,7,2,3
"19",1946,"SFReed",0,0,"1946-043","1946-043-04","1946-043-04-01","1946-043-04-01-01",1947-02-03,1,"329 U.S. 599","67 S. Ct. 606","91 L. Ed. 532","1947 U.S. LEXIS 2861",1301,"Vinson","151","ALBRECHT ET AL. v. UNITED STATES",1947-01-08,NA,195,NA,27,NA,1,NA,NA,0,86,30,28,NA,0,3,2,2,1,2,0,0,0,0,40070,4,2,0,1,NA,2,211,"",78,87,1,7,2,3
"20",1946,"SFReed",0,0,"1946-043","1946-043-02","1946-043-02-01","1946-043-02-01-01",1947-02-03,1,"329 U.S. 599","67 S. Ct. 606","91 L. Ed. 532","1947 U.S. LEXIS 2861",1301,"Vinson","155","ALBRECHT ET AL. v. UNITED STATES",1947-01-08,NA,195,NA,27,NA,1,NA,NA,0,86,30,28,NA,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,1,NA,2,211,"",78,87,1,7,2,3
"21",1946,"SFReed",0,0,"1946-002","1946-002-06","1946-002-06-01","1946-002-06-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","16","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"22",1946,"SFReed",0,0,"1946-002","1946-002-02","1946-002-02-01","1946-002-02-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","17","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"23",1946,"SFReed",0,0,"1946-002","1946-002-08","1946-002-08-01","1946-002-08-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","18","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"24",1946,"SFReed",0,0,"1946-056","1946-056-01","1946-056-01-01","1946-056-01-01-01",1947-03-03,1,"330 U.S. 212","67 S. Ct. 752","91 L. Ed. 849","1947 U.S. LEXIS 2582",1301,"Vinson","184","CONE v. WEST VIRGINIA PULP & PAPER CO.",1947-02-03,NA,195,NA,243,NA,1,NA,NA,0,114,48,24,NA,0,11,3,2,1,3,0,1,0,0,90330,9,1,0,4,NA,4,400,"",78,87,1,9,0,3
"25",1946,"SFReed",0,0,"1946-002","1946-002-04","1946-002-04-01","1946-002-04-01-01",1946-11-18,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1301,"Vinson","19","CLEVELAND v. UNITED STATES",1945-10-10,1946-10-17,100,NA,27,NA,1,NA,NA,0,123,52,30,NA,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,NA,6,600,"18 U.S.C. § 398",81,87,1,6,3,3
"26",1946,"SFReed",0,0,"1946-053","1946-053-01","1946-053-01-01","1946-053-01-01-01",1947-02-17,1,"330 U.S. 160","67 S. Ct. 645","91 L. Ed. 818","1947 U.S. LEXIS 2647",1301,"Vinson","190","BOZZA v. UNITED STATES",1947-01-07,NA,100,NA,27,NA,1,NA,NA,0,92,35,23,NA,0,12,6,1,1,6,0,0,0,0,10170,1,1,0,1,NA,2,206,"",78,87,1,9,0,3
"27",1946,"SFReed",0,0,"1946-050","1946-050-01","1946-050-01-01","1946-050-01-01-01",1947-02-10,1,"330 U.S. 75","67 S. Ct. 556","91 L. Ed. 754","1947 U.S. LEXIS 2960",1301,"Vinson","20","UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.",1945-12-03,1946-10-17,8,60,320,NA,2,20,NA,1,55,10,55,10,0,1,NA,1,1,2,0,0,0,0,90340,9,1,0,4,NA,4,403,"",79,74,1,4,3,3
"28",1946,"SFReed",0,0,"1946-069","1946-069-01","1946-069-01-01","1946-069-01-01-01",1947-03-10,1,"330 U.S. 518","67 S. Ct. 828","91 L. Ed. 1067","1947 U.S. LEXIS 2552",1301,"Vinson","206","KOSTER v. (AMERICAN) LUMBERMENS MUTUAL CASUALTY CO.",1946-12-19,NA,237,NA,171,NA,1,NA,NA,0,94,37,22,NA,1,12,2,2,1,2,0,0,0,0,90140,9,2,0,7,4,4,400,"",84,87,1,5,4,3
"29",1946,"SFReed",0,0,"1946-082","1946-082-01","1946-082-01-01","1946-082-01-01-01",1947-04-07,1,"330 U.S. 731","67 S. Ct. 1009","91 L. Ed. 1209","1947 U.S. LEXIS 2868",1301,"Vinson","207","LAND, CHAIRMAN, UNITED STATES MARITIME COMMISSION, ET AL. v. DOLLAR ET AL.",1947-02-11,NA,349,NA,237,NA,1,49,NA,0,55,10,32,NA,0,10,3,2,1,2,0,0,0,0,90320,9,2,0,4,NA,4,400,"",81,87,1,8,0,3
"30",1946,"SFReed",0,0,"1946-045","1946-045-01","1946-045-01-01","1946-045-01-01-01",1947-02-03,1,"329 U.S. 637","67 S. Ct. 610","91 L. Ed. 563","1947 U.S. LEXIS 3022",1301,"Vinson","208","TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.",1947-01-07,NA,172,NA,177,NA,1,NA,NA,0,96,37,22,NA,1,3,3,2,1,4,0,1,0,0,80180,8,1,0,7,3,NA,NA,"",81,87,1,5,4,3
"31",1946,"SFReed",0,0,"1946-122","1946-122-02","1946-122-02-01","1946-122-02-01-01",1947-06-16,1,"331 U.S. 737","67 S. Ct. 1489","91 L. Ed. 1782","1947 U.S. LEXIS 2073",1301,"Vinson","209","BAZLEY v. COMMISSIONER OF INTERNAL REVENUE",1947-01-09,NA,240,NA,369,NA,1,69,NA,0,9,NA,23,NA,0,10,2,2,1,2,0,0,0,0,120010,12,2,0,4,NA,3,345,"",80,87,1,7,2,3
"32",1946,"SFReed",0,0,"1946-003","1946-003-01","1946-003-01-01","1946-003-01-01-01",1946-11-18,1,"329 U.S. 29","67 S. Ct. 1","91 L. Ed. 22","1946 U.S. LEXIS 3037",1301,"Vinson","21","CHAMPLIN REFINING CO. v. UNITED STATES ET AL.",1945-11-08,1946-10-18,209,NA,27,NA,2,66,NA,1,107,42,107,42,0,1,NA,2,1,2,0,0,0,0,80250,8,2,0,1,NA,2,207,"",84,78,1,5,4,3
